Taxon,SpeciesGroup,decimalLatitude,decimalLongitude,Rate
Phlegmariurus acerosus,acerosus,15.7422,-90.1792,0.142
Phlegmariurus acerosus,acerosus,14.66666,-88.7,0.142
Phlegmariurus acerosus,acerosus,14.53333,-88.66666,0.142
Phlegmariurus acerosus,acerosus,14.55,-88.66666,0.142
Phlegmariurus acerosus,acerosus,15.0833,-88.3333,0.142
Phlegmariurus acerosus,acerosus,10.3,-84.75,0.142
Phlegmariurus acerosus,acerosus,9.762583,-83.788328,0.142
Phlegmariurus acerosus,acerosus,9.7625,-83.788055,0.142
Phlegmariurus acerosus,acerosus,9.8333,-83.75,0.142
Phlegmariurus acerosus,acerosus,9.952778,-83.473611,0.142
Phlegmariurus acerosus,acerosus,9.28,-83.23,0.142
Phlegmariurus acerosus,acerosus,8.917676,-82.78469,0.142
Phlegmariurus acerosus,acerosus,8.81666,-82.55,0.142
Phlegmariurus acerosus,acerosus,21.5,-80,0.142
Phlegmariurus acerosus,acerosus,22,-79.5,0.142
Phlegmariurus acerosus,acerosus,1.49361,-76.95528,0.142
Phlegmariurus acerosus,acerosus,20.025711,-76.696808,0.142
Phlegmariurus acerosus,acerosus,20.014444,-76.055298,0.142
Phlegmariurus acerosus,acerosus,20.5,-76,0.142
Phlegmariurus acerosus,acerosus,20.316668,-75,0.142
Phlegmariurus acerosus,acerosus,3.8811,-72.8667,0.142
Phlegmariurus acerosus,acerosus,18.68,-71.78,0.142
Phlegmariurus acerosus,acerosus,18.23,-71.47,0.142
Phlegmariurus acerosus,acerosus,18.22,-71.33,0.142
Phlegmariurus acerosus,acerosus,-16.733333,-67.333333,0.142
Phlegmariurus acerosus,acerosus,15.372378,-61.255377,0.142
Phlegmariurus acerosus,acerosus,-22.683333,-53.75,0.142
Phlegmariurus acerosus,acerosus,-22.68,-53.75,0.142
Phlegmariurus acerosus,acerosus,3.024109,-53.082157,0.142
Phlegmariurus acerosus,acerosus,4.97333,-52.43889,0.142
Phlegmariurus acerosus,acerosus,-29.152222,-51.150556,0.142
Phlegmariurus acerosus,acerosus,-24,-51,0.142
Phlegmariurus acerosus,acerosus,-29.440583,-50.354639,0.142
Phlegmariurus acerosus,acerosus,-29.706944,-50.291056,0.142
Phlegmariurus acerosus,acerosus,-29.176111,-50.0725,0.142
Phlegmariurus acerosus,acerosus,-29.171944,-50.030278,0.142
Phlegmariurus acerosus,acerosus,-29.178889,-50.022778,0.142
Phlegmariurus acerosus,acerosus,-27,-50,0.142
Phlegmariurus acerosus,acerosus,-28.798889,-49.948333,0.142
Phlegmariurus acerosus,acerosus,-28.798883,-49.948333,0.142
Phlegmariurus acerosus,acerosus,-29.195,-49.9475,0.142
Phlegmariurus acerosus,acerosus,-29.045278,-49.945278,0.142
Phlegmariurus acerosus,acerosus,-26.365,-49.235556,0.142
Phlegmariurus acerosus,acerosus,-26.365,-49.235555,0.142
Phlegmariurus acerosus,acerosus,-25.53858417,-49.20699315,0.142
Phlegmariurus acerosus,acerosus,-27.09,-49.14,0.142
Phlegmariurus acerosus,acerosus,-26.28,-49.14,0.142
Phlegmariurus acerosus,acerosus,-27.096944,-49.139444,0.142
Phlegmariurus acerosus,acerosus,-25.4333,-49.0667,0.142
Phlegmariurus acerosus,acerosus,-25.44578346,-49.06368271,0.142
Phlegmariurus acerosus,acerosus,-25.441944,-49.063056,0.142
Phlegmariurus acerosus,acerosus,-26.1925,-49.047778,0.142
Phlegmariurus acerosus,acerosus,-27.263611,-49.026944,0.142
Phlegmariurus acerosus,acerosus,-25.454722,-48.931111,0.142
Phlegmariurus acerosus,acerosus,-25.35,-48.916667,0.142
Phlegmariurus acerosus,acerosus,-27.821833,-48.897389,0.142
Phlegmariurus acerosus,acerosus,-25.262611,-48.863722,0.142
Phlegmariurus acerosus,acerosus,-26.3,-48.833333,0.142
Phlegmariurus acerosus,acerosus,-25.25,-48.833333,0.142
Phlegmariurus acerosus,acerosus,-25.233333,-48.833333,0.142
Phlegmariurus acerosus,acerosus,-25.239225,-48.832306,0.142
Phlegmariurus acerosus,acerosus,-25.239167,-48.832222,0.142
Phlegmariurus acerosus,acerosus,-25.23,-48.83,0.142
Phlegmariurus acerosus,acerosus,-25.136667,-48.821667,0.142
Phlegmariurus acerosus,acerosus,-25.638889,-48.733889,0.142
Phlegmariurus acerosus,acerosus,-25.614,-48.6987,0.142
Phlegmariurus acerosus,acerosus,-25.6225,-48.694167,0.142
Phlegmariurus acerosus,acerosus,-25.6,-48.666667,0.142
Phlegmariurus acerosus,acerosus,-21.92743843,-46.38618493,0.142
Phlegmariurus acerosus,acerosus,-21.923611,-46.385833,0.142
Phlegmariurus acerosus,acerosus,-22.7338533,-45.59033244,0.142
Phlegmariurus acerosus,acerosus,-22.73,-45.59,0.142
Phlegmariurus acerosus,acerosus,-22.733333,-45.533333,0.142
