species,decimalLatitude,decimalLongitude,speciation
Espeletia hartwegiana,0.668303235,-78.83291334,0.661082354
Espeletia hartwegiana,0.668303235,-78.83291334,0.773189637
Espeletia pycnophylla,0.95,-78.216667,0.31807205
Espeletia pycnophylla,0.69778,-78.07028,0.018215177
Espeletia pycnophylla,0.7,-78,0.278603948
Espeletia pycnophylla,0.716,-78,0.508936615
Espeletia pycnophylla,1.5,-78,0.191999881
Espeletia pycnophylla,1.5,-78,0.420959546
Espeletia pycnophylla,1.5,-78,0.317951186
Espeletia pycnophylla,1.5,-78,0.477517087
Espeletia pycnophylla,1.5,-78,0.550097707
Espeletia pycnophylla,1.5,-78,0.040152313
Espeletia pycnophylla,1.5,-78,0.632044261
Espeletia pycnophylla,1.5,-78,0.536664651
Espeletia pycnophylla,1.5,-78,0.04518852
Espeletia pycnophylla,1.5,-78,0.493577112
Espeletia pycnophylla,1.5,-78,0.034385052
Espeletia pycnophylla,1.5,-78,0.739178931
Espeletia pycnophylla,1.5,-78,0.014324056
Espeletia pycnophylla,1.5,-78,0.253320856
Espeletia pycnophylla,1.5,-78,0.282302055
Espeletia pycnophylla,1.5,-78,0.161886506
Espeletia pycnophylla,1.5,-78,0.232967804
Espeletia pycnophylla,1.5,-78,0.701333749
Espeletia pycnophylla,1.5,-78,0.222594267
Espeletia pycnophylla,1.5,-78,0.367219853
Espeletia pycnophylla,1.5,-78,0.290579186
Espeletia pycnophylla,1.5,-78,0.011699489
Espeletia pycnophylla,1.5,-78,0.219635339
Espeletia schultesiana,1.5,-78,0.591915247
Espeletia schultesiana,1.5,-78,0.307868186
Espeletia schultesiana,1.5,-78,0.197461471
Espeletia schultesiana,1.5,-78,0.511261041
Espeletia pycnophylla,0.795986,-77.9821,0.003831426
Espeletia pycnophylla,0.8,-77.9667,0.393120959
Espeletia hanburyana,0.8,-77.966667,0.38756265
Espeletia pycnophylla,0.78333,-77.96666,0.130232504
Espeletia pycnophylla,0.783,-77.966,0.349291074
Espeletia pycnophylla,0.856881,-77.9514,0.02144281
